name,url,score,ratings,Brewery,ABV,IBU
1554 Black Lager,/beer/profile/192/1914/,3.83,"4,126",New Belgium Brewing,5.60,No IBU
Kellerweis,/beer/profile/140/48434/,4.05,"4,101",Sierra Nevada Brewing Co.,4.80,No IBU
Rodenbach Grand Cru,/beer/profile/216/673/,4.29,"4,099",Brouwerij Rodenbach N.V.,6.00,No IBU
Julius,/beer/profile/28743/86237/,4.66,"4,069",Tree House Brewing Company,6.80,No IBU
Raging Bitch Belgian-Style IPA,/beer/profile/68/52855/,3.86,"4,051",Flying Dog Brewery,8.30,No IBU
G'Knight Imperial Red IPA,/beer/profile/2681/8919/,4.12,"4,027",Oskar Blues Grill & Brew,8.70,60
Plead The 5th Imperial Stout,/beer/profile/1471/45073/,4.31,"4,024",Dark Horse Brewing Company,11.00,No IBU
Gulden Draak,/beer/profile/48/155/,4.24,"4,023",Brouwerij Van Steenberge N.V.,10.50,No IBU
The Mad Elf,/beer/profile/694/7531/,3.87,"4,016",Tröegs Brewing Company,11.00,No IBU
Stone / Chris Banker / Insurgente  Xocoveza,/beer/profile/147/128500/,4.34,"4,011",Stone Brewing,8.10,No IBU
Leffe Blonde,/beer/profile/470/2137/,3.56,"3,998",Abbaye de Leffe S.A.,6.60,No IBU
Black Tuesday,/beer/profile/16866/51257/,4.54,"3,987",The Bruery,19.50,No IBU
W-n-B Coffee Oatmeal Imperial Stout,/beer/profile/2372/21950/,4.29,"3,986",Terrapin Beer Company,9.40,No IBU
La Folie,/beer/profile/192/1917/,4.25,"3,979",New Belgium Brewing,7.00,No IBU
Obsidian Stout,/beer/profile/63/197/,4.2,"3,950",Deschutes Brewery,6.40,No IBU
Honker's Ale,/beer/profile/1146/1157/,3.66,"3,940",Goose Island Beer Co.,4.30,No IBU
Nut Brown Ale,/beer/profile/113/576/,4.09,"3,940",Samuel Smith Old Brewery (Tadcaster),5.00,No IBU
Darkness,/beer/profile/13014/33127/,4.48,"3,939",Surly Brewing Company,10.30,No IBU
Pilsner Urquell,/beer/profile/1/429/,3.59,"3,931",Plze?ský Prazdroj,4.40,No IBU
Samuel Adams Cherry Wheat,/beer/profile/35/108/,3.16,"3,927",Boston Beer Company (Samuel Adams),5.30,No IBU
Shock Top Belgian White,/beer/profile/29/39908/,2.95,"3,914",Anheuser-Busch,5.20,No IBU
Bell's Special Double Cream Stout,/beer/profile/287/2403/,3.96,"3,894",Bell's Brewery - Eccentric Café & General Store,6.10,No IBU
Raspberry Tart,/beer/profile/590/1585/,4.37,"3,874",New Glarus Brewing Company,4.00,No IBU
Big Bad Baptist,/beer/profile/22893/73618/,4.37,"3,842",Epic Brewing Company,11.80,No IBU
Mirror Pond Pale Ale,/beer/profile/63/195/,3.9,"3,842",Deschutes Brewery,5.00,No IBU
Damnation,/beer/profile/863/12770/,4.12,"3,839",Russian River Brewing Company,7.75,No IBU
Daisy Cutter Pale Ale,/beer/profile/18006/48582/,4.16,"3,825",Half Acre Beer Company,5.20,No IBU
Miller High Life,/beer/profile/105/580/,2.69,"3,819",Miller Brewing Co.,4.60,No IBU
Curieux (Bourbon Barrel-Aged Tripel),/beer/profile/4/16909/,4.28,"3,807",Allagash Brewing Company,11.00,No IBU
Imperial Stout,/beer/profile/113/782/,4.16,"3,803",Samuel Smith Old Brewery (Tadcaster),7.00,No IBU
Samuel Adams Latitude 48 IPA,/beer/profile/35/57252/,3.56,"3,795",Boston Beer Company (Samuel Adams),6.00,No IBU
Cantillon Gueuze 100% Lambic,/beer/profile/388/1703/,4.45,"3,784",Brasserie Cantillon,5.00,No IBU
Miles Davis' Bitches Brew,/beer/profile/64/59151/,4.18,"3,774",Dogfish Head Craft Brewery,9.00,38
Espresso Oak Aged Yeti Imperial Stout,/beer/profile/158/42723/,4.27,"3,772",Great Divide Brewing Company,9.50,No IBU
Temptation,/beer/profile/863/9474/,4.46,"3,736",Russian River Brewing Company,7.50,No IBU
Anchor Porter,/beer/profile/28/61/,4.09,"3,727",Anchor Brewing Company,5.60,No IBU
Sweetwater 420 Extra Pale Ale,/beer/profile/273/751/,3.64,"3,719",SweetWater Brewing Company,5.40,No IBU
Brooklyn Lager,/beer/profile/45/148/,3.72,"3,715",Brooklyn Brewery,5.20,No IBU
Pure Hoppiness,/beer/profile/3120/7597/,4.33,"3,712",Alpine Beer Company,8.00,
Samuel Adams Noble Pils,/beer/profile/35/54904/,3.76,"3,711",Boston Beer Company (Samuel Adams),4.90,No IBU
Samuel Adams Old Fezziwig Ale,/beer/profile/35/1881/,3.77,"3,697",Boston Beer Company (Samuel Adams),5.90,No IBU
Northern Hemisphere Harvest Wet Hop IPA,/beer/profile/140/6549/,4.16,"3,688",Sierra Nevada Brewing Co.,6.70,No IBU
Sierra Nevada Porter,/beer/profile/140/279/,3.89,"3,678",Sierra Nevada Brewing Co.,5.60,No IBU
Leinenkugel's Summer Shandy,/beer/profile/710/36010/,3.17,"3,653",Jacob Leinenkugel Brewing Company,4.20,No IBU
Spotted Cow,/beer/profile/590/1963/,3.75,"3,637",New Glarus Brewing Company,4.80,No IBU
Wisconsin Belgian Red,/beer/profile/590/1577/,4.38,"3,637",New Glarus Brewing Company,4.00,No IBU
Rübæus,/beer/profile/1199/23474/,3.88,"3,616",Founders Brewing Company,5.70,No IBU
Perpetual IPA,/beer/profile/694/71969/,4.07,"3,612",Tröegs Brewing Company,7.50,No IBU
Loose Cannon Hop3 IPA,/beer/profile/898/25755/,4,"3,588",Heavy Seas Beer,7.25,No IBU
Arctic Panzer Wolf,/beer/profile/26/52531/,4.26,"3,578",3 Floyds Brewing Co.,9.00,100
Blackout Stout,/beer/profile/73/15813/,4.2,"3,567",Great Lakes Brewing Co.,9.00,No IBU
Sweetwater IPA,/beer/profile/273/1493/,3.96,"3,567",SweetWater Brewing Company,6.30,No IBU
Weihenstephaner Vitus,/beer/profile/252/35625/,4.28,"3,551",Bayerische Staatsbrauerei Weihenstephan,7.70,No IBU
A Little Sumpin' Wild,/beer/profile/220/57912/,4.1,"3,545",Lagunitas Brewing Company,8.80,51
Focal Banger,/beer/profile/46317/111616/,4.59,"3,543",The Alchemist Brewery and Visitors Center,7.00,No IBU
Go To IPA,/beer/profile/147/111969/,3.95,"3,539",Stone Brewing,4.80,No IBU
Paulaner Hefe-Weissbier Naturtrüb,/beer/profile/124/1256/,4.05,"3,504",Paulaner Brauerei GmbH & Co. KG,5.50,No IBU
Shakespeare Oatmeal Stout,/beer/profile/132/56973/,4.14,"3,488",Rogue Ales,5.80,69
Anchor Liberty Ale,/beer/profile/28/665/,3.88,"3,479",Anchor Brewing Company,5.90,No IBU
75 Minute IPA,/beer/profile/64/15758/,4.12,"3,478",Dogfish Head Craft Brewery,7.50,No IBU
Terrapin Hopsecutioner,/beer/profile/2372/53886/,3.82,"3,464",Terrapin Beer Company,7.30,No IBU
Cali-Belgique IPA,/beer/profile/147/43905/,3.96,"3,456",Stone Brewing,6.90,No IBU
Deviant Dale's IPA,/beer/profile/2681/65347/,4.02,"3,437",Oskar Blues Grill & Brew,8.00,No IBU
Hop Head Red Ale,/beer/profile/2743/35732/,3.97,"3,421",Green Flash Brewing Co.,8.10,
Sierra Nevada Stout,/beer/profile/140/283/,4.07,"3,419",Sierra Nevada Brewing Co.,5.80,No IBU
