whiskey,url,age,bottler,price,average_rating,personal_rating
Laphroaig Cairdeas Madeira Edition 2016,http://www.lawhiskeysociety.com/whiskey-profile/3987/Laphroaig-Cairdeas-Madeira-Edition-2016,NAS yrs,Laphroaig,$85 ,B+,B
Limeburners M97,http://www.lawhiskeysociety.com/whiskey-profile/3862/Limeburners-M97,N/A,N/A,$120 ,B,B
Linkwood 1985 Signatory for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3780/Linkwood-1985-Signatory-for-K-and-L,29 yrs,Signatory,$200 ,B,B
Linkwood 1989 Whiskybroker,http://www.lawhiskeysociety.com/whiskey-profile/3638/Linkwood-1989-Whiskybroker,26 yrs,Whiskybroker Ltd.,$130 ,B-,C+
Linkwood 1995 Signatory Vintage Cask 5924,http://www.lawhiskeysociety.com/whiskey-profile/3442/Linkwood-1995-Signatory-Vintage-Cask-5924,19 yrs,Signatory,$70 ,B-,B-
Linlithgow 1982 Signatory CS (for LMDW),http://www.lawhiskeysociety.com/whiskey-profile/3357/Linlithgow-1982-Signatory-CS-(for-LMDW),25 yrs,Signatory,$200 ,B-,B-
Litchfield 8 Double Barrelled Bourbon,http://www.lawhiskeysociety.com/whiskey-profile/3708/Litchfield-8-Double-Barrelled-Bourbon,8 yrs,OB,$60 ,B+,B+
Littlemill 1988 Exclusive Malts (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3286/Littlemill-1988-Exclusive-Malts-(for-K-and-L),N/A,Creative Whisky Company,$140 ,C-,C-
Loch Lomond Peated,http://www.lawhiskeysociety.com/whiskey-profile/3412/Loch-Lomond-Peated,N/A,OB,$50 ,C+,B-
Lombard 8 Speyside,http://www.lawhiskeysociety.com/whiskey-profile/3725/Lombard-8-Speyside,8 yrs,Lombard,$50 ,C+,C+
Longmorn 1985 DL Platinum Old & Rare for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3786/Longmorn-1985--DL-Platinum-Old-and-Rare-for-K-and-L,29 yrs,Hunter Laing,$350 ,B,B
Longmorn 1992 Faultline (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3291/Longmorn-1992-Faultline-(for-K-and-L),21 yrs,Faultline,$115 ,C+,C
Longmorn 1996 DT Dimensions,http://www.lawhiskeysociety.com/whiskey-profile/3178/Longmorn-1996-DT-Dimensions,16 yrs,Duncan Taylor,$110 ,B-,B
Longrow 18 (white label),http://www.lawhiskeysociety.com/whiskey-profile/3829/Longrow-18-(white-label),18 yrs,OB,$180 ,B,B
